Identifier,UniqueId,Name,Description,ReferencePointPeriods_0_StandardIdentifier,ReferencePointPeriods_0_IsMeasuredAgainstLocalAssumedDatum,ReferencePointPeriods_0_ValidFrom,ReferencePointPeriods_0_Unit,ReferencePointPeriods_0_Elevation,ReferencePointPeriods_0_Uncertainty,ReferencePointPeriods_0_MeasurementDirection,ReferencePointPeriods_0_AppliedTime,ReferencePointPeriods_0_AppliedByUser,PrimarySinceDate,ReferencePointPeriods_0_Comment,ReferencePointPeriods_1_IsMeasuredAgainstLocalAssumedDatum,ReferencePointPeriods_1_ValidFrom,ReferencePointPeriods_1_Unit,ReferencePointPeriods_1_Elevation,ReferencePointPeriods_1_MeasurementDirection,ReferencePointPeriods_1_AppliedTime,ReferencePointPeriods_1_AppliedByUser,Latitude,Longitude,ReferencePointPeriods_0_Method,DecommissionedDate,DecommissionedReason,ReferencePointPeriods_1_StandardIdentifier,ReferencePointPeriods_1_Comment,DisplayOrder
000070,730cabc1188a41cdb9acd76ae1e299ba,NAVD88 0ft,,NAVD88,FALSE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:45:00.1251270+00:00,admin,,,,,,,,,,,,,,,,,
000070,3e44ebab91a544abbd880ec8abd48966,TO 4 inch PVC casing,same as Ref point is 2.25ft above LSD,NAVD88,FALSE,2021-01-01T00:00:00.0000000+00:00,ft,18.75,,FromBottomToTop,2021-05-10T19:18:14.2451670+00:00,admin,,,,,,,,,,,,,,,,,1
000071,fcf89974fba040a3931f9084fa4bf00a,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.9985558+00:00,admin,,,,,,,,,,,,,,,,,
000071,0c401f0ba8944b9388433d1fca32c8be,Ref point is 2.1ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,2.1,,FromBottomToTop,2021-04-30T22:42:46.0147980+00:00,admin,,,,,,,,,,,,,,,,,
000071,da9d65c54ae04dda9c36040d01a05f67,TO 2 inch PVC casing,same as Ref point is 2.1ft above LSD,NAVD88,FALSE,0001-01-01T00:00:00.0000000+00:00,ft,19.1,,FromBottomToTop,2023-08-14T20:35:53.0522120+00:00,k_price,,,,,,,,,,,,,,,,,1
000072,d6b2313ef74a4ff28f5fcda32dda559e,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:46.0340410+00:00,admin,,,,,,,,,,,,,,,,,
000072,42dab737898f4f9fb04e9e67af81d2b1,Ref point is 1.8ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,1.8,,FromBottomToTop,2021-04-30T22:42:46.0504530+00:00,admin,,,,,,,,,,,,,,,,,
000072,c186fe48ee6f47338d5404c2f42a843d,TO 4 inch PVC casing,same as Ref point is 1.8ft above LSD,NAVD88,FALSE,0001-01-01T00:00:00.0000000+00:00,ft,19.05,,FromBottomToTop,2023-08-14T20:35:10.9748240+00:00,k_price,,,,,,,,,,,,,,,,,1
000073,3dc7fcd15fca44ffaaca6ddf68f66f74,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:46.0706862+00:00,admin,,,,,,,,,,,,,,,,,
000073,932e910f998a4225b9df31f4505bc049,Ref point is 2.36ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,2.36,,FromBottomToTop,2021-04-30T22:42:46.0871040+00:00,admin,,,,,,,,,,,,,,,,,
000073,f6fc92c46bff4d71a19ca6e4cbfc9060,TO 2 inch PVC casing,same as Ref point is 2.36 above LSD,NAVD88,FALSE,0001-01-01T00:00:00.0000000+00:00,ft,19.89,,FromBottomToTop,2023-08-14T20:42:56.4475420+00:00,k_price,,,,,,,,,,,,,,,,,1
000074,e05d6dbf3aa14e74a5e5b466ba8ca53c,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:46.1069440+00:00,admin,,,,,,,,,,,,,,,,,
000074,d4bbb3e0e29d40d3bc6e187e235620e6,Ref point is 2.25ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,2.25,,FromBottomToTop,2021-04-30T22:42:46.1228810+00:00,admin,,,,,,,,,,,,,,,,,
000074,32fd6570e1d04425ae27ffff06246d9f,TO 2 inch PVC casing,same as Ref point is 2.25ft above LSD,NAVD88,FALSE,0001-01-01T00:00:00.0000000+00:00,ft,19.6,,FromBottomToTop,2023-08-14T20:49:51.2828218+00:00,k_price,,,,,,,,,,,,,,,,,1
000075,bbb3165d25914f2d93077830090c5efe,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:46.1426302+00:00,admin,,,,,,,,,,,,,,,,,
000075,4d918d0e39aa4fcd912f4ded209d47d9,Ref point is 1.85ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,1.85,,FromBottomToTop,2021-04-30T22:42:46.1581710+00:00,admin,,,,,,,,,,,,,,,,,
000075,c645e9be18554f2bbc3ed11808550f28,Ref point is 2.25ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,2.25,,FromBottomToTop,2021-04-30T22:42:46.1740530+00:00,admin,,,,,,,,,,,,,,,,,
